Entity,Time,Value
Europe & Central Asia (excluding high income),1971,45000000.0
Europe & Central Asia,1971,6020436971.20325
Ecuador,1971,162099999.9
"Egypt, Arab Rep.",1971,2310000.0
Euro area,1971,3892857216.47694
Spain,1971,202000000.0
European Union,1971,4101957483.49027
Fragile and conflict affected situations,1971,694550000.10068
Finland,1971,25000000.0
Fiji,1971,6500000.0
France,1971,525655900.0
Gabon,1971,15699999.9
United Kingdom,1971,1771224349.2066
Ghana,1971,30600000.0
"Gambia, The",1971,1700000.0
Greece,1971,42000000.0
Guatemala,1971,28600000.0
Guyana,1971,-2439999.9
High income,1971,10913280619.9238
"Hong Kong SAR, China",1971,59483393.5
Honduras,1971,7400000.0
Heavily indebted poor countries (HIPC),1971,143209999.60068
Haiti,1971,3400000.00068
IBRD only,1971,2215354456.45561
IDA & IBRD total,1971,3228200627.89479
IDA total,1971,507999999.70068
IDA blend,1971,432869999.9
Indonesia,1971,299069999.9
IDA only,1971,75129999.80068
India,1971,47659999.9
Ireland,1971,25000000.0
"Iran, Islamic Rep.",1971,65200000.0
Iraq,1971,-180000.0
Iceland,1971,19800000.0
Israel,1971,57000000.0
Italy,1971,549089964.645401
Jamaica,1971,175199999.9
Japan,1971,210000000.0
Kenya,1971,7400000.0
Cambodia,1971,-280000.0
"Korea, Rep.",1971,42000000.0
Kuwait,1971,10000.0
Latin America & Caribbean (excluding high income),1971,1389118139.60019
Lebanon,1971,-80000.0
Liberia,1971,-33960000.0
Libya,1971,70780000.0
Latin America & Caribbean,1971,1773594311.33869
Least developed countries: UN classification,1971,27809999.70068
Low income,1971,-7260000.1
Sri Lanka,1971,300000.0
Lower middle income,1971,637809999.50068
Low & middle income,1971,2725794456.05629
Late-demographic dividend,1971,1112633524.59951
"Macao SAR, China",1971,20000.0
Morocco,1971,23100000.0
Madagascar,1971,1080000.0
"Middle East, North Africa, Afghanistan & Pakistan",1971,177307596.115427
Mexico,1971,307000000.0
Middle income,1971,2733054456.15629
Mali,1971,-600000.0
Malta,1971,11544861.4936237
Myanmar,1971,50000.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1971,186180000.0
Mozambique,1971,30000.0
Mauritania,1971,4040000.0
Mauritius,1971,1300000.0
Malawi,1971,9599999.9
Malaysia,1971,100000000.0
North America,1971,3043318428.36666
Niger,1971,-5299999.9
Nigeria,1971,286000000.0
Nicaragua,1971,13300000.0
Netherlands,1971,752897735.480259
Norway,1971,94000000.0
New Zealand,1971,110000000.0
OECD members,1971,10961571598.6694
Oman,1971,-270000.0
Other small states,1971,46504861.4936237
Pakistan,1971,1000000.0
Peru,1971,-3220000.0
Philippines,1971,21590000.0
Papua New Guinea,1971,47490000.0
Pre-demographic dividend,1971,382429999.6
Portugal,1971,56000000.0
Paraguay,1971,7099999.9
Pacific island small states,1971,6350000.0
Post-demographic dividend,1971,10664217885.202
Qatar,1971,27340000.0
Romania,1971,0.0
Rwanda,1971,1700000.0
South Asia,1971,47959999.9
Saudi Arabia,1971,-111437265.378197
Senegal,1971,9800000.0
Singapore,1971,116000000.0
Solomon Islands,1971,-170000.0
Sierra Leone,1971,5200000.0
El Salvador,1971,7000000.0
"Somalia, Fed. Rep.",1971,1700000.0
Sub-Saharan Africa (excluding high income),1971,713360932.0561
Sub-Saharan Africa,1971,715170932.0561
Small states,1971,220571033.132122
Suriname,1971,-6799999.9
Sweden,1971,84100267.0133291
Seychelles,1971,1810000.0
Chad,1971,300000.0
East Asia & Pacific (IDA & IBRD countries),1971,514955384.5
Europe & Central Asia (IDA & IBRD countries),1971,45000000.0
Togo,1971,4599999.9
Thailand,1971,38865384.6
Latin America & the Caribbean (IDA & IBRD countries),1971,1718934311.43869
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",1971,186180000.0
Tonga,1971,0.0
South Asia (IDA & IBRD),1971,47959999.9
Sub-Saharan Africa (IDA & IBRD countries),1971,715170932.0561
Trinidad and Tobago,1971,103300000.0
Tunisia,1971,23000000.0
Turkiye,1971,45000000.0
Tanzania,1971,5150000.0
Uganda,1971,-1200000.0
Upper middle income,1971,2095244456.65561
Uruguay,1971,-830000.0
United States,1971,770000000.0
"Venezuela, RB",1971,211000000.0
Viet Nam,1971,1820000.0
Vanuatu,1971,10000.0
World,1971,14020855075.9801
Samoa,1971,10000.0
South Africa,1971,260060932.5561
Zambia,1971,8419999.9
Zimbabwe,1971,21840000.0
Africa Eastern and Southern,1972,218888245.6811
Afghanistan,1972,150000.0
Africa Western and Central,1972,476659999.0
Angola,1972,2160000.0
Arab World,1972,267977643.702819
United Arab Emirates,1972,10510000.0
Argentina,1972,71719999.9
Australia,1972,1054014675.1
Austria,1972,145400000.0
Burundi,1972,410000.0
Belgium,1972,386000000.0
Benin,1972,4799999.9
Burkina Faso,1972,-700000.0
Bangladesh,1972,90000.0
"Bahamas, The",1972,90430000.0
Bolivia,1972,16204999.9
Brazil,1972,459899999.9
Barbados,1972,19139837.1938904
Brunei Darussalam,1972,-3779999.9
Central African Republic,1972,1500000.0
Canada,1972,2110873961.07408
Central Europe and the Baltics,1972,0.0
Chile,1972,-1100000.0
Cote d'Ivoire,1972,18699999.9
Cameroon,1972,3299999.9
"Congo, Dem. Rep.",1972,10470000.0
"Congo, Rep.",1972,66299999.9
Colombia,1972,18457070.0
Costa Rica,1972,25846010.0
Caribbean small states,1972,201179836.99389
Cyprus,1972,36399999.9
Germany,1972,1897270695.56092
Denmark,1972,164000000.0
Dominican Republic,1972,43500000.0
Algeria,1972,41490000.0
East Asia & Pacific (excluding high income),1972,533905576.7
Early-demographic dividend,1972,1117654873.42303
East Asia & Pacific,1972,2650359015.62394
Europe & Central Asia (excluding high income),1972,43000000.0
Europe & Central Asia,1972,6617541587.46046
Ecuador,1972,80799999.9
"Egypt, Arab Rep.",1972,30000.0
Euro area,1972,5017927465.82469
Spain,1972,268000000.0
European Union,1972,5247233595.42947
Fragile and conflict affected situations,1972,265599984.53911
Finland,1972,37000000.0
Fiji,1972,8500000.0
France,1972,656666980.5
Gabon,1972,17399999.9
United Kingdom,1972,1207963191.18523
Ghana,1972,11500000.0
"Gambia, The",1972,1700000.0
Greece,1972,55000000.0
Guatemala,1972,15900000.0
Guyana,1972,2500000.0
High income,1972,12459467678.1274
"Hong Kong SAR, China",1972,110442097.0
Honduras,1972,3000000.0
Heavily indebted poor countries (HIPC),1972,259054984.03911
Haiti,1972,4059985.03910975
IBRD only,1972,1754439891.06308
IDA & IBRD total,1972,2441930721.99608
IDA total,1972,693314983.73911
IDA blend,1972,538149999.3
Indonesia,1972,253520000.0
IDA only,1972,155164984.43911
India,1972,17789999.9
Ireland,1972,31000000.0
"Iran, Islamic Rep.",1972,91200000.0
Iraq,1972,-90000.0
Iceland,1972,2799999.9
Israel,1972,114000000.0
Italy,1972,673181132.47583
Jamaica,1972,97500000.0
Jordan,1972,559999.381979295
Japan,1972,169000000.0
Kenya,1972,6299999.9
Cambodia,1972,-10000.0
"Korea, Rep.",1972,496000000.0
Kuwait,1972,10000.0
Latin America & Caribbean (excluding high income),1972,1072831054.13911
Lao PDR,1972,-130000.0
Lebanon,1972,760000.0
Liberia,1972,20649999.9
Libya,1972,125980000.0
Latin America & Caribbean,1972,918606901.333
Least developed countries: UN classification,1972,129959984.43911
Low income,1972,64699999.7
Sri Lanka,1972,300000.0
Lower middle income,1972,701304983.221089
Low & middle income,1972,2445254874.80219
Late-demographic dividend,1972,1097343656.7
"Macao SAR, China",1972,320000.0
Morocco,1972,13000000.0
Madagascar,1972,12000000.0
"Middle East, North Africa, Afghanistan & Pakistan",1972,487562842.857064
Mexico,1972,178384999.9
Middle income,1972,2380554875.10219
Mali,1972,3399999.9
Malta,1972,4455199.05424475
Myanmar,1972,280000.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1972,323089999.381979
Mozambique,1972,5500000.0
Mauritania,1972,2109999.9
Mauritius,1972,1560000.0
Malawi,1972,10100000.0
Malaysia,1972,114000000.0
North America,1972,3380873961.07408
Niger,1972,900000.0
Nigeria,1972,305000000.0
Nicaragua,1972,10000000.0
Netherlands,1972,754553458.333698
Norway,1972,121000000.0
Nepal,1972,30000.0
New Zealand,1972,126690000.0
OECD members,1972,12143308303.6345
Oman,1972,1710000.0
Other small states,1972,43455198.9542447
Pakistan,1972,17000000.0
Peru,1972,60312999.9
Philippines,1972,4099999.9
Papua New Guinea,1972,85879999.9
Pre-demographic dividend,1972,524659999.0
Portugal,1972,73000000.0
Paraguay,1972,3480999.9
Pacific island small states,1972,8545000.0
Post-demographic dividend,1972,12026344023.8066
Qatar,1972,10000.0
Romania,1972,0.0
Rwanda,1972,500000.0
South Asia,1972,18209999.9
Saudi Arabia,1972,33777644.4208395
Sudan,1972,610000.0
Senegal,1972,15199999.9
Singapore,1972,161066666.723935
Solomon Islands,1972,-10000.0
Sierra Leone,1972,3799999.9
El Salvador,1972,6599999.9
"Somalia, Fed. Rep.",1972,4500000.0
Sub-Saharan Africa (excluding high income),1972,694198244.6811
Sub-Saharan Africa,1972,695548244.6811
Small states,1972,253180035.948135
Suriname,1972,3009999.9
Sweden,1972,65306129.6047817
Eswatini,1972,670000.0
Seychelles,1972,1350000.0
Syrian Arab Republic,1972,10000.0
Chad,1972,-100000.0
East Asia & Pacific (IDA & IBRD countries),1972,533905576.7
Europe & Central Asia (IDA & IBRD countries),1972,43000000.0
Togo,1972,1200000.0
Thailand,1972,68610576.9
Latin America & the Caribbean (IDA & IBRD countries),1972,828176901.333
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",1972,323089999.381979
Tonga,1972,0.0
South Asia (IDA & IBRD),1972,18209999.9
Sub-Saharan Africa (IDA & IBRD countries),1972,695548244.6811
Trinidad and Tobago,1972,86099999.9
Tunisia,1972,33000000.0
Turkiye,1972,43000000.0
Tanzania,1972,7690000.0
Uganda,1972,-11900000.0
Upper middle income,1972,1679249891.8811
Uruguay,1972,-1139999.9
United States,1972,1270000000.0
"Venezuela, RB",1972,-376000000.0
Viet Nam,1972,-890000.0
Vanuatu,1972,40000.0
World,1972,14768702552.9296
Samoa,1972,15000.0
South Africa,1972,114478245.8811
Zambia,1972,29000000.0
Zimbabwe,1972,23489999.9
Africa Eastern and Southern,1973,176559138.7134
Afghanistan,1973,270000.0
Africa Western and Central,1973,642409999.5
Angola,1973,7540000.0
Arab World,1973,-691490283.776953
United Arab Emirates,1973,3410000.0
Argentina,1973,100250000.0
Australia,1973,135039666.1
Austria,1973,160759999.9
Burundi,1973,440000.0
Belgium,1973,719000000.0
Benin,1973,3500000.0
Burkina Faso,1973,4400000.0
Bangladesh,1973,2339999.9
Bahrain,1973,3399999.9
"Bahamas, The",1973,102250000.0
Bolivia,1973,4599999.9
Brazil,1973,1180700000.0
Barbados,1973,5630300.31036336
Brunei Darussalam,1973,290000.0
Central African Republic,1973,-200000.0
Canada,1973,3184571500.54189
Central Europe and the Baltics,1973,0.0
Chile,1973,-4799999.9
Cote d'Ivoire,1973,51000000.0
Cameroon,1973,3100000.0
"Congo, Dem. Rep.",1973,17719999.9
"Congo, Rep.",1973,68299999.9
Colombia,1973,23842600.0
Costa Rica,1973,37700000.0
Caribbean small states,1973,195880300.010363
Cyprus,1973,37200000.0
Germany,1973,2102302343.34061
Djibouti,1973,400000.0
Denmark,1973,212000000.0
Dominican Republic,1973,34500000.0
Algeria,1973,51000000.0
East Asia & Pacific (excluding high income),1973,1023388711.3
Early-demographic dividend,1973,1654247187.43176
East Asia & Pacific,1973,2014579663.02403
Europe & Central Asia (excluding high income),1973,79000000.0
Europe & Central Asia,1973,9854035953.88058
Ecuador,1973,52299999.9
"Egypt, Arab Rep.",1973,700000.0
Euro area,1973,6553991931.70185
Spain,1973,390000000.0
European Union,1973,6849955524.37092
Fragile and conflict affected situations,1973,341784999.595316
Finland,1973,13000000.0
Fiji,1973,15699999.9
France,1973,1125479246.6
Gabon,1973,15900000.0
United Kingdom,1973,2722732319.90587
Ghana,1973,14400000.0
Guinea,1973,780000.0
"Gambia, The",1973,1399999.9
Greece,1973,62000000.0
Guatemala,1973,34799999.9
Guyana,1973,8199999.9
High income,1973,15640764874.3585
"Hong Kong SAR, China",1973,271274584.7
Honduras,1973,6599999.9
Heavily indebted poor countries (HIPC),1973,380329998.895316
Haiti,1973,6979999.99531595
IBRD only,1973,3636255888.43103
IDA & IBRD total,1973,4576286187.03671
IDA total,1973,941949998.495316
IDA blend,1973,681009999.6
Indonesia,1973,581000000.0
IDA only,1973,260939998.895316
India,1973,37909999.9
Ireland,1973,52000000.0
"Iran, Islamic Rep.",1973,561500000.0
Iraq,1973,-6549999.9
Iceland,1973,-1500000.0
Israel,1973,149000000.0
Italy,1973,673103003.06248
Jamaica,1973,73299999.9
Jordan,1973,2130438.41763228
Japan,1973,-42000000.0
Kenya,1973,17260000.0
Cambodia,1973,190000.0
"Korea, Rep.",1973,4000000.0
Kuwait,1973,300000.0
Latin America & Caribbean (excluding high income),1973,2113102599.09532
Lao PDR,1973,890000.0
Lebanon,1973,3950000.0
Liberia,1973,74840000.0
Libya,1973,-201280000.0
Latin America & Caribbean,1973,2245072899.20568
Least developed countries: UN classification,1973,223009999.295316
Low income,1973,146844999.5
Sri Lanka,1973,500000.0
Lower middle income,1973,937840437.412948
Low & middle income,1973,4570005887.02635
Late-demographic dividend,1973,1924052977.7
"Macao SAR, China",1973,120000.0
Morocco,1973,5490000.0
Madagascar,1973,11000000.0
Maldives,1973,-200000.0
"Middle East, North Africa, Afghanistan & Pakistan",1973,9721606.7192508
Mexico,1973,457000000.0
Middle income,1973,4423160887.52635
Mali,1973,600000.0
Malta,1973,5151890.39620357
Myanmar,1973,30000.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1973,471565438.517632
Mozambique,1973,4019999.9
Mauritania,1973,9849999.9
Mauritius,1973,1020000.0
Malawi,1973,7700000.0
Malaysia,1973,172000000.0
North America,1973,5114571500.54189
Niger,1973,1000000.0
Nigeria,1973,373000000.0
Nicaragua,1973,13199999.9
Netherlands,1973,1118995448.40256
Norway,1973,209000000.0
Nepal,1973,-10000.0
New Zealand,1973,207650000.0
OECD members,1973,15898839720.6225
Oman,1973,1486666.6
Other small states,1973,48261890.2962036
Pakistan,1973,-4000000.0
Peru,1973,95629999.9
Philippines,1973,59299999.9
Papua New Guinea,1973,111900000.0
Pre-demographic dividend,1973,715599999.4
Portugal,1973,95000000.0
Paraguay,1973,9199999.9
Pacific island small states,1973,19214999.8
Post-demographic dividend,1973,15741590596.8531
Qatar,1973,1320000.0
Romania,1973,0.0
Rwanda,1973,2000000.0
South Asia,1973,40539999.8
Saudi Arabia,1973,-625912388.694585
Sudan,1973,260000.0
Senegal,1973,4900000.0
Singapore,1973,352816700.92403
Solomon Islands,1973,700000.0
Sierra Leone,1973,6240000.0
El Salvador,1973,6000000.0
"Somalia, Fed. Rep.",1973,600000.0
Sub-Saharan Africa (excluding high income),1973,813129138.3134
Sub-Saharan Africa,1973,818969138.2134
Small states,1973,263357190.106567
Suriname,1973,14199999.9
Sweden,1973,83963592.6690626
Eswatini,1973,60000.0
Seychelles,1973,5839999.9
Syrian Arab Republic,1973,-45000.0
Chad,1973,6099999.9
East Asia & Pacific (IDA & IBRD countries),1973,1023388711.3
Europe & Central Asia (IDA & IBRD countries),1973,79000000.0
Togo,1973,3299999.9
Thailand,1973,77833711.6
Latin America & the Caribbean (IDA & IBRD countries),1973,2142822899.20568
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",1973,471565438.517632
Tonga,1973,0.0
South Asia (IDA & IBRD),1973,40539999.8
Sub-Saharan Africa (IDA & IBRD countries),1973,818969138.2134
Trinidad and Tobago,1973,65599999.9
Tunisia,1973,58000000.0
Turkiye,1973,79000000.0
Tanzania,1973,6030000.0
Uganda,1973,5200000.0
Upper middle income,1973,3485320450.1134
Uruguay,1973,1389999.9
United States,1973,1930000000.0
"Venezuela, RB",1973,-84000000.0
Viet Nam,1973,1030000.0
Vanuatu,1973,2799999.9
World,1973,20097490761.3848
Samoa,1973,15000.0
South Africa,1973,27379139.1134
Zambia,1973,32000000.0
Zimbabwe,1973,30489999.9
Africa Eastern and Southern,1974,898515563.30674
Africa Western and Central,1974,518269117.686841
Angola,1974,6690000.0
Arab World,1974,-3399182606.66216
United Arab Emirates,1974,1629999.9
Argentina,1974,17920000.0
Australia,1974,1327729911.6
Austria,1974,177050000.0
Burundi,1974,220000.0
Belgium,1974,1137000000.0
Benin,1974,-2343120.32888629
Burkina Faso,1974,2669999.9
Bangladesh,1974,2200000.0
Bahrain,1974,110000.0
"Bahamas, The",1974,143440000.0
Bolivia,1974,44233000.0
Brazil,1974,1207900000.0
Barbados,1974,2397684.5342294
Brunei Darussalam,1974,2080000.0
Bhutan,1974,420000.0
Botswana,1974,70000.0
Central African Republic,1974,5799999.9
Canada,1974,3723538434.68265
Central Europe and the Baltics,1974,0.0
Chile,1974,2310000.0
Cote d'Ivoire,1974,32600000.0
Cameroon,1974,21600000.0
"Congo, Dem. Rep.",1974,51979999.9
"Congo, Rep.",1974,46100000.0
Colombia,1974,40889759.9996338
Costa Rica,1974,46310009.9
Caribbean small states,1974,274800684.434229
Cayman Islands,1974,1830000.0
Cyprus,1974,32399999.9
Germany,1974,2176992344.38363
Djibouti,1974,30000.0
Denmark,1974,240000000.0
Dominican Republic,1974,53600000.0
Algeria,1974,358000000.0
East Asia & Pacific (excluding high income),1974,1164907900.89541
Early-demographic dividend,1974,-1153401256.29728
East Asia & Pacific,1974,3526963191.11046
Europe & Central Asia (excluding high income),1974,64000000.0
Europe & Central Asia,1974,12799281521.0898
Ecuador,1974,76799999.9
"Egypt, Arab Rep.",1974,130000.0
Euro area,1974,7696387690.77087
Spain,1974,358000000.0
European Union,1974,8012974185.66077
Fragile and conflict affected situations,1974,96138874.411609
Finland,1974,35000000.0
Fiji,1974,14300000.0
France,1974,1846644387.7
Gabon,1974,79599999.9
United Kingdom,1974,4373743379.63996
Ghana,1974,14270000.0
Guinea,1974,1450000.0
"Gambia, The",1974,1200000.0
Greece,1974,67000000.0
Guatemala,1974,47399999.9
Guyana,1974,1360000.0
High income,1974,18988579023.9715
"Hong Kong SAR, China",1974,153444422.9
Honduras,1974,-1149999.99976168
Heavily indebted poor countries (HIPC),1974,377841909.974427
Haiti,1974,7939993.41632895
IBRD only,1974,4237159395.56592
IDA & IBRD total,1974,5315430382.63841
IDA total,1974,758431038.142848
IDA blend,1974,516042128.268421
Indonesia,1974,182120000.0
IDA only,1974,242388909.874427
India,1974,56969999.9
Ireland,1974,51200000.0
"Iran, Islamic Rep.",1974,323500000.0
Iraq,1974,-8830000.0
Iceland,1974,13199999.9
Israel,1974,84000000.0
Italy,1974,595350461.044662
Jamaica,1974,30500000.0
Jordan,1974,6830353.69898947
Japan,1974,202000000.0
Kenya,1974,23420000.0
Cambodia,1974,1350000.0
"Korea, Rep.",1974,2000000.0
Kuwait,1974,120000.0
Latin America & Caribbean (excluding high income),1974,2162166752.9162
Lao PDR,1974,430000.0
Lebanon,1974,6339999.9
Liberia,1974,57710000.0
Libya,1974,6200000.0
Latin America & Caribbean,1974,2042157447.25043
Least developed countries: UN classification,1974,216948909.974189
Low income,1974,148170499.276198
Sri Lanka,1974,1399999.9
Lower middle income,1974,847703892.465639
Low & middle income,1974,4994230433.70877
Late-demographic dividend,1974,2440632077.18245
Morocco,1974,-20399999.9
Madagascar,1974,13709798.8710188
Maldives,1974,70000.0
"Middle East, North Africa, Afghanistan & Pakistan",1974,-2980206562.65119
Mexico,1974,508755999.9
Middle income,1974,4846059934.43257
Mali,1974,-150000.0
Malta,1974,10636044.1109678
Myanmar,1974,1020000.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1974,703810353.69899
Mozambique,1974,2000000.0
Mauritania,1974,3620000.0
Mauritius,1974,3609999.9
Malawi,1974,22699999.9
Malaysia,1974,570819254.595405
North America,1974,7263538434.68265
Niger,1974,6908881.39527995
Nigeria,1974,257000000.0
Nicaragua,1974,13800000.0
Netherlands,1974,1103114453.63161
Norway,1974,346000000.0
Nepal,1974,250000.0
New Zealand,1974,251610000.0
OECD members,1974,22496025637.272
Oman,1974,-61088593.11259
Other small states,1974,67708172.1793885
Pakistan,1974,4000000.0
Peru,1974,62371999.9
Philippines,1974,130740000.0
Papua New Guinea,1974,72689999.9
Pre-demographic dividend,1974,573468916.55786
Portugal,1974,106000000.0
Paraguay,1974,23655999.9
Pacific island small states,1974,16200000.0
Post-demographic dividend,1974,22192028974.8327
Qatar,1974,12970000.0
Romania,1974,0.0
Rwanda,1974,2200000.0
South Asia,1974,61309999.8
Saudi Arabia,1974,-3732394367.24856
Sudan,1974,-1159999.9
Senegal,1974,10261537.6105481
Singapore,1974,340190955.715055
Solomon Islands,1974,-50000.0
Sierra Leone,1974,10500000.0
El Salvador,1974,20100000.0
"Somalia, Fed. Rep.",1974,700000.0
Sub-Saharan Africa (excluding high income),1974,1415054680.99358
Sub-Saharan Africa,1974,1416784680.99358
Small states,1974,358708856.613618
Sao Tome and Principe,1974,0.0
Suriname,1974,7450000.0
